Age,Attrition,Department,Education,Gender,JobLevel,JobSatisfaction,MonthlyIncome,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
41,Yes,Sales,2,Female,2,4,5993,8,1,6,4,5
49,No,Research & Development,1,Male,2,2,5130,10,3,10,7,7
37,Yes,Research & Development,2,Male,1,3,2090,7,3,0,0,0
33,No,Research & Development,4,Female,1,3,2909,8,3,8,7,0
27,No,Research & Development,1,Male,1,2,3468,6,3,2,2,2
32,No,Research & Development,2,Male,1,4,3068,8,2,7,7,6
59,No,Research & Development,3,Female,1,1,2670,12,2,1,0,0
30,No,Research & Development,1,Male,1,3,2693,1,3,1,0,0
38,No,Research & Development,3,Male,3,3,9526,10,3,9,7,8
36,No,Research & Development,3,Male,2,3,5237,17,2,7,7,7
35,No,Research & Development,3,Male,1,2,2426,6,3,5,4,3
29,No,Research & Development,2,Female,2,3,4193,10,3,9,5,8
31,No,Research & Development,1,Male,1,3,2911,5,2,5,2,3
34,No,Research & Development,2,Male,1,4,2661,3,3,2,2,2
28,Yes,Research & Development,3,Male,1,3,2028,6,3,4,2,3
29,No,Research & Development,4,Female,3,1,9980,10,3,10,9,8
32,No,Research & Development,2,Male,1,2,3298,7,2,6,2,5
22,No,Research & Development,2,Male,1,4,2935,1,2,1,0,0
53,No,Sales,4,Female,4,4,15427,31,3,25,8,7
38,No,Research & Development,3,Male,1,4,3944,6,3,3,2,2
24,No,Research & Development,2,Female,2,3,4011,5,2,4,2,3
36,Yes,Sales,4,Male,1,1,3407,10,3,5,3,3
34,No,Research & Development,4,Female,3,2,11994,13,3,12,6,11
21,No,Research & Development,2,Male,1,4,1232,0,3,0,0,0
34,Yes,Research & Development,1,Male,1,1,2960,8,3,4,2,3
53,No,Research & Development,3,Female,5,3,19094,26,2,14,13,8
32,Yes,Research & Development,1,Female,1,1,3919,10,3,10,2,7
42,No,Sales,4,Male,2,2,6825,10,3,9,7,2
44,No,Research & Development,4,Female,3,4,10248,24,3,22,6,17
46,No,Sales,4,Female,5,1,18947,22,2,2,2,1
33,No,Research & Development,3,Male,1,4,2496,7,3,1,1,0
44,No,Research & Development,4,Male,2,4,6465,9,4,4,2,3
30,No,Research & Development,2,Male,1,3,2206,10,3,10,0,8
39,Yes,Sales,3,Male,2,4,2086,19,4,1,0,0
24,Yes,Research & Development,3,Male,1,4,2293,6,2,2,0,0
43,No,Research & Development,2,Female,1,3,2645,6,2,5,3,4
50,Yes,Sales,2,Male,1,3,2683,3,3,3,2,2
35,No,Sales,3,Female,1,4,2014,2,3,2,2,2
36,No,Research & Development,4,Female,1,1,3419,6,4,1,1,0
33,No,Sales,3,Female,2,1,5376,10,3,5,3,3
35,No,Research & Development,2,Male,1,4,1951,1,3,1,0,0
27,No,Research & Development,4,Female,1,1,2341,1,3,1,0,0
26,Yes,Research & Development,3,Male,1,3,2293,1,2,1,0,1
27,No,Sales,3,Male,3,3,8726,9,3,9,8,7
30,No,Research & Development,2,Female,2,4,4011,12,3,12,8,7
41,Yes,Research & Development,3,Female,5,3,19545,23,3,22,15,8
34,No,Sales,4,Male,2,3,4568,10,3,9,5,7
37,No,Research & Development,2,Male,1,2,3022,8,3,1,0,0
46,No,Sales,4,Male,2,4,5772,14,3,9,6,8
35,No,Research & Development,1,Male,1,4,2269,1,3,1,0,1
48,Yes,Research & Development,2,Male,3,3,5381,23,3,1,0,0
28,Yes,Research & Development,4,Male,1,3,3441,2,2,2,2,2
44,No,Sales,5,Female,2,1,5454,9,2,4,3,3
35,No,Research & Development,2,Male,3,1,9884,10,3,4,0,3
26,No,Sales,3,Female,2,4,4157,5,2,2,2,0
33,No,Research & Development,2,Female,3,4,13458,15,3,15,14,12
